Name,Price,old_price,link,rating,discount_percentage
"Hp CHROMEBOOK  INTEL CELERON ,4GB RAM,64GB WINDOWS 10","₦ 105,000",,https://www.jumia.com.ng/laptops//chromebook-intel-celeron-4gb-ram64gb-windows-10-hp-mpg2818652.html,,
Hp ProBook 11 X360- Intel Pentium 256GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro + Laptop Pouch,"₦ 203,632","₦ 230,000",https://www.jumia.com.ng/laptops//hp-probook-11-x360-intel-pentium-256gb-ssd-touchscreen-4gb-ram-windows10-pro-laptop-pouch-73123338.html,4.3 out of 5,11%
Hp ELITEBOOK 830 G7 TOUCH SCREEN INTEL CORE I7 512SSD 16GB RAM BACKLIT KEYBOARD WINDOWS 11PRO,"₦ 832,150","₦ 890,000",https://www.jumia.com.ng/laptops//hp-elitebook-830-g7-touch-screen-intel-core-i7-512ssd-16gb-ram-backlit-keyboard-windows-11pro-263565398.html,4 out of 5,7%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit,"₦ 510,000","₦ 900,000",https://www.jumia.com.ng/laptops//hp-elitebook-840-g5-intel-core-i5-16gb-ram1tb-ssdbacklit-48147524.html,4.4 out of 5,43%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,"₦ 485,000","₦ 800,000",https://www.jumia.com.ng/laptops//elitebook-840-g5-intel-core-i5-16gb-ram1tb-ssdbacklit-keyboardfp-reader-wins-11-pro-laptop-bag-hp-mpg4009472.html,4.6 out of 5,39%
Hp Stream 11 Intel Celeron Quad Core - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse &USB Light For Keyboard,"₦ 146,850","₦ 195,000",https://www.jumia.com.ng/laptops//stream-11-intel-celeron-quad-core-64gb-ssd-4gb-ram-windows-10-pro-mouse-usb-light-for-keyboard-hp-mpg3400953.html,4 out of 5,25%
Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10,"₦ 120,000",,https://www.jumia.com.ng/laptops//hp-stream-11-intel-celeron-2gb-ram-32gb-hdd-win-10-141747321.html,5 out of 5,
Hp ProBook 11 X360- TOUCH Intel Celeron 256GB 4GB RAM WIN10 Pro & USB LIGHT FOR KEYBOARD,"₦ 195,800","₦ 400,000",https://www.jumia.com.ng/laptops//hp-probook-11-x360-touch-intel-celeron-256gb-4gb-ram-win10-pro-usb-light-for-keyboard-210780313.html,4 out of 5,51%
Hp EliteBook 840 G6 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Win 11 Pro Laptop+BAG,"₦ 485,000","₦ 520,000",https://www.jumia.com.ng/laptops//hp-elitebook-840-g6-intel-core-i5-16gb-ram1tb-ssdbacklit-keyboardfp-reader-win-11-pro-laptopbag-236752980.html,3.6 out of 5,7%
Hp EliteBook 840 G6 Intel Core I5 Touchscreen 16GB RAM/1TB SSD/Backlit Keyboard/FP Win 11 Pro,"₦ 565,950","₦ 770,900",https://www.jumia.com.ng/laptops//hp-elitebook-840-g6-intel-core-i5-touchscreen-16gb-ram1tb-ssdbacklit-keyboardfp-win-11-pro-295793877.html,,27%
Hp EliteBook 840 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard/FP Reader Wins 11 Pro Laptop +BAG,"₦ 485,001","₦ 800,000",https://www.jumia.com.ng/laptops//hp-elitebook-840-g5-intel-core-i5-16gb-ram1tb-ssdbacklit-keyboardfp-reader-wins-11-pro-laptop-bag-251180552.html,,39%
Hp ProBook 11 X360 Intel Celeron 256GB SSD 4GB RAM Touchscreen Win10,"₦ 195,000","₦ 245,000",https://www.jumia.com.ng/laptops//hp-probook-11-x360-intel-celeron-256gb-ssd-4gb-ram-touchscreen-win10-139397597.html,4 out of 5,20%
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 261,393","₦ 300,000",https://www.jumia.com.ng/laptops//elitebook-840-g5-intel-core-i5-12gb-ram256gb-ssdbacklit-keyboardfp-reader-wins-11-laptop-bag-hp-mpg3710354.html,4.3 out of 5,13%
Hp Notebook 14 AMD RYZEN 3- 12GB RAM - 1TB HDD- 2.6GHz - 3.5GHz Windows 10 Pro,"₦ 318,175","₦ 325,000",https://www.jumia.com.ng/laptops//notebook-14-amd-ryzen-3-12gb-ram-1tb-hdd-2.6ghz-3.5ghz-windows-10-pro-hp-mpg3704099.html,,2%
Hp EliteBook 830 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit/ TOUCHSCREEN FP Reader Windows 11 Pro + BAG,"₦ 480,000","₦ 700,000",https://www.jumia.com.ng/laptops//hp-elitebook-830-g5-intel-core-i5-16gb-ram1tb-ssdbacklit-touchscreen-fp-reader-windows-11-pro-bag-264013066.html,,31%
Hp Stream 11 Intel Celeron D/C  4GB RAM- 64GB HDD WIN 10 +USB LIGHT FOR KEYBORD,"₦ 125,000","₦ 220,900",https://www.jumia.com.ng/laptops//hp-stream-11-intel-celeron-dc-4gb-ram-64gb-hdd-win-10-usb-light-for-keybord-263769669.html,,43%
Hp NoteBook 348 G5 Intel Core I5-16GB RAM/1TB SSD/Backlit Keyboard- Windows 11 Pro + BAG,"₦ 460,000","₦ 790,000",https://www.jumia.com.ng/laptops//hp-notebook-348-g5-intel-core-i5-16gb-ram1tb-ssdbacklit-keyboard-windows-11-pro-bag-260415432.html,1 out of 5,42%
Hp ProBook11 X360-Intel Celeron 512GB 4GBRAM Windows10+MOUSE,"₦ 213,422","₦ 600,000",https://www.jumia.com.ng/laptops//probook11-x360-intel-celeron-512gb-4gbram-windows10mouse-hp-mpg3401178.html,5 out of 5,64%
Hp EliteBook WIN11 840 G5 Intel Core I5/16GB RAM/1TB SSD+BAG,"₦ 499,290","₦ 600,000",https://www.jumia.com.ng/laptops//elitebook-win11-840-g5-intel-core-i516gb-ram1tb-ssdbag-hp-mpg4091559.html,4 out of 5,17%
Hp Probook 450 G7 Intel Core I3-8GB RAM/256GB SSD Fingerprint  Wins 11 Pro +BAG,"₦ 480,000","₦ 550,000",https://www.jumia.com.ng/laptops//15-intel-pentium-silver-8gb-ram-1tb-hdd-windows-10-fingerprint-enabled-free-mouse-hp-mpg2160604.html,4.5 out of 5,13%
